iterations,latitude,longitude,scores,road_damage,status,fps
144,-6.8967071,107.61077,58,D20,detected,3.7148176293139334
145,-6.8967071,107.61077,14,D20,undetected,3.9597258791908545
146,-6.8967071,107.61077,34,D20,undetected,3.694953239412797
147,-6.8967071,107.61077,4,D20,undetected,3.8048370724290863
148,-6.8967071,107.61077,35,D40,undetected,3.5389146933626954
149,-6.8967099,107.61078,50,D40,detected,3.5904573007093936
150,-6.8967099,107.61078,44,D40,detected,3.756488967344917
151,-6.8967099,107.61078,57,D20,detected,3.832304515468816
152,-6.8967099,107.61078,27,D40,undetected,3.7463392326009712
153,-6.8967099,107.61078,3,D40,undetected,4.0897575283039656
154,-6.8967099,107.61078,39,D40,undetected,3.8718701420505948
155,-6.8967099,107.61078,42,D20,detected,3.9531313618747457
156,-6.8967099,107.61078,30,D20,undetected,3.6826673433245736
157,-6.8967099,107.61078,8,D20,undetected,3.913217581146264
158,-6.8967071,107.61078,0,nolabel,undetected,4.068655772435642
159,-6.8967071,107.61078,7,D20,undetected,4.0599363466705904
160,-6.8967071,107.61078,2,D40,undetected,3.990436585293919
161,-6.8967071,107.61078,14,D20,undetected,4.030295168416461
162,-6.8967071,107.61078,30,D40,undetected,3.774856990629241
163,-6.8967071,107.61078,56,D40,detected,3.7206734338865446
164,-6.8967071,107.61078,44,D40,detected,3.525842959206919
165,-6.8967071,107.61078,79,D40,detected,3.5341585284675467
166,-6.8967071,107.61078,74,D40,detected,3.662172085165087
167,-6.8967071,107.61078,49,D00,detected,3.695422026431718
168,-6.8967099,107.61078,57,D00,detected,3.7146366801313224
169,-6.8967099,107.61078,46,D40,detected,3.704983168016847
170,-6.8967099,107.61078,26,D40,undetected,3.648172566756545
171,-6.8967099,107.61078,53,D40,detected,3.74287575516906
172,-6.8967099,107.61078,43,D40,detected,3.6592231214034205
173,-6.8967099,107.61078,26,D40,undetected,3.7357616696237077
174,-6.8967099,107.61078,46,D40,detected,3.6992059719237034
175,-6.8967099,107.61078,27,D20,undetected,3.7025465742009294
176,-6.8967099,107.61078,16,D40,undetected,4.078356329550869
177,-6.8967099,107.61078,45,D20,detected,3.8134785877877517
178,-6.896708,107.61078,25,D40,undetected,3.726219973188086
179,-6.896708,107.61078,27,D20,undetected,3.67656626236719
180,-6.896708,107.61078,14,D20,undetected,3.6504554905607662
181,-6.896708,107.61078,6,D20,undetected,3.87602784919149
182,-6.896708,107.61078,24,D20,undetected,3.445180505667215
183,-6.896708,107.61078,24,D20,undetected,3.478940003832031
184,-6.896708,107.61078,8,D00,undetected,3.9195512934329377
185,-6.896708,107.61078,17,D00,undetected,4.07686976637944
186,-6.896708,107.61078,41,D20,detected,3.7871203899169132
187,-6.8967009,107.61078,23,D20,undetected,3.7547335845259613
188,-6.8967009,107.61078,53,D20,detected,3.5315785618238262
189,-6.8967009,107.61078,39,D20,undetected,3.694090851842816
190,-6.8967009,107.61078,30,D20,undetected,3.7222352381560917
191,-6.8967009,107.61078,41,D20,detected,3.6816911026980432
192,-6.8967009,107.61078,5,D20,undetected,3.921027956567059
193,-6.8967009,107.61078,51,D40,detected,3.7033050087234147
194,-6.8967009,107.61078,28,D40,undetected,3.7490281746666656
195,-6.8967009,107.61078,44,D40,detected,3.7874213268558736
196,-6.8967009,107.61078,44,D20,detected,3.705510155401048
197,-6.8966875,107.61078,9,D10,undetected,4.046833346037063
198,-6.8966875,107.61078,14,D40,undetected,4.123515607564933
199,-6.8966875,107.61078,46,D20,detected,3.78589661658886
200,-6.8966875,107.61078,55,D20,detected,3.720587622181043
201,-6.8966875,107.61078,70,D20,detected,3.7748366066012555
202,-6.8966875,107.61078,47,D20,detected,3.7521707158665776
203,-6.8966875,107.61078,13,D20,undetected,4.078812426153465
